month,batch_no,total_piece, gross_weight , volume_weight , duty_fee , vat_fee , air_tran , vat_7p , grand_total ,amount_thb,from,sea_tran_usd
MAY,IM190543,,,," 10,293.99 "," 15,132.16 ", -   ,, -   ,"205,879.75",HONG KONG, -   
MAY,IM190543,,,," 2,654.74 "," 3,902.47 ", -   ,, -   ,"53,094.85",HONG KONG, -   
MAY,IM190543,,,," 4,258.77 "," 6,260.40 ", -   ,, -   ,"85,175.46",HONG KONG, -   
MAY,IM190543,,,," 2,773.28 "," 4,076.72 ", -   ,, -   ,"55,465.57",HONG KONG, -   
MAY,IM190543,,,," 4,408.78 "," 6,480.91 ", -   ,, -   ,"88,175.66",HONG KONG, -   
MAY,IM190543,,,," 2,078.89 "," 3,055.98 ", -   ,, -   ,"41,577.90",HONG KONG, -   
MAY,IM190545, 2 , 44.00 , 45.00 ," 2,094.54 "," 3,078.98 "," 9,654.73 "," 3,542.52 "," 13,197.25 ","41,890.88",CHINA, 450 
MAY,IM190546, 1 , 15.25 , 16.50 ," 13,652.14 "," 4,141.15 "," 9,116.86 "," 14,480.19 "," 23,597.05 ","45,507.13",HONG KONG, 165 
MAY,IM190546,,,," 13,652.14 "," 4,141.15 ", -   ,, -   ,"45,507.13",HONG KONG, -   
MAY,IM190546,,,," 2,047.82 ", 621.17 , -   ,, -   ,"6,826.07",HONG KONG, -   
MAY,IM190546,,,, 69.32 , 21.03 , -   ,, -   ,231.06,HONG KONG, -   
MAY,IM190546,,,," 2,772.67 ", 841.04 , -   ,, -   ,"9,242.24",HONG KONG, -   
MAY,IM190546,,,," 1,039.75 ", 315.39 , -   ,, -   ,"3,465.84",HONG KONG, -   
MAY,IM190546,,,," 1,039.75 ", 315.39 , -   ,, -   ,"3,465.84",HONG KONG, -   
MAY,IM190546,,,," 2,473.13 ", 750.18 , -   ,, -   ,"8,243.77",HONG KONG, -   
MAY,IM190546,,,," 7,419.39 "," 2,250.55 ", -   ,, -   ,"24,731.30",HONG KONG, -   
MAY,IM190546,,,, 494.63 , 150.04 , -   ,, -   ,"1,648.75",HONG KONG, -   
MAY,IM190546,,,, 379.80 , 115.21 , -   ,, -   ,"1,266.01",HONG KONG, -   
MAY,IM190546,,,," 1,120.40 ", 339.85 , -   ,, -   ,"3,734.66",HONG KONG, -   
MAY,IM190546,,,, 149.39 , 45.31 , -   ,, -   ,497.95,HONG KONG, -   
MAY,IM190546,,,," 1,130.96 ", 343.06 , -   ,, -   ,"3,769.86",HONG KONG, -   
MAY,IM190546,,,," 11,353.74 "," 3,443.97 ", -   ,, -   ,"37,845.80",HONG KONG, -   
MAY,IM190547, 14 , 103.50 , 114.00 ," 1,056.07 ", 320.34 ," 15,164.82 "," 7,256.25 "," 22,421.07 ","3,520.24",HONG KONG," 1,140 "
MAY,IM190547,,,," 1,344.09 ", 407.71 , -   ,, -   ,"4,480.31",HONG KONG, -   
MAY,IM190547,,,," 2,592.18 ", 786.29 , -   ,, -   ,"8,640.59",HONG KONG, -   
MAY,IM190547,,,," 3,648.25 "," 1,106.64 ", -   ,, -   ,"12,160.84",HONG KONG, -   
MAY,IM190547,,,, 912.06 , 276.66 , -   ,, -   ,"3,040.21",HONG KONG, -   
MAY,IM190547,,,," 1,824.13 ", 553.32 , -   ,, -   ,"6,080.42",HONG KONG, -   
MAY,IM190547,,,, 518.44 , 157.26 , -   ,, -   ,"1,728.12",HONG KONG, -   
MAY,IM190547,,,," 2,280.16 ", 691.65 , -   ,, -   ,"7,600.52",HONG KONG, -   
